Date,Tm,,Opp,Result2,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
6/19/00,LAL,,IND,W,1,1,44:44:00,44,8,27,0.296,2,6,0.333,8,9,0.889,3,7,10,4,1,2,1,4,26,16.7,7
10/31/00,LAL,@,POR,W,1,1,34:54:00,34,4,11,0.364,0,1,0,6,6,1,0,2,2,2,1,1,7,4,14,3,8
11/1/00,LAL,,UTA,L,0,1,37:03:00,37,9,21,0.429,1,2,0.5,12,13,0.923,1,3,4,5,0,1,2,3,31,22.1,7
11/4/00,LAL,@,VAN,W,1,1,40:18:00,40,9,20,0.45,1,1,1,3,4,0.75,2,3,5,2,5,2,6,3,22,14.1,9
11/5/00,LAL,,LAC,W,1,1,41:17:00,41,6,14,0.429,2,4,0.5,7,7,1,0,5,5,6,0,0,2,2,21,16.5,14
11/7/00,LAL,@,HOU,L,0,1,47:04:00,47,7,16,0.438,1,3,0.333,0,1,0,1,2,3,3,2,1,1,3,15,10.1,-12
11/8/00,LAL,@,SAS,L,0,1,45:37:00,45,15,31,0.484,1,3,0.333,1,1,1,1,2,3,8,3,0,3,1,32,22.8,-2
11/12/00,LAL,,HOU,W,1,1,44:10:00,44,12,29,0.414,1,1,1,12,15,0.8,3,7,10,2,3,0,2,5,37,24.9,3
11/14/00,LAL,,DEN,W,1,1,39:01:00,39,12,23,0.522,1,3,0.333,6,6,1,3,1,4,9,2,1,4,4,31,25.5,24
11/16/00,LAL,@,SAC,W,1,1,49:25:00,49,9,23,0.391,1,5,0.2,12,12,1,1,9,10,3,0,1,3,4,31,20.1,6
11/18/00,LAL,@,DEN,L,0,1,43:59:00,43,10,25,0.4,3,6,0.5,9,10,0.9,1,4,5,4,0,1,3,2,32,19.7,-7
11/19/00,LAL,,CHI,W,1,1,39:21:00,39,8,22,0.364,0,2,0,6,9,0.667,1,11,12,3,1,0,2,2,22,12.9,11
11/22/00,LAL,,GSW,W,1,1,30:20:00,30,13,19,0.684,2,3,0.667,3,4,0.75,1,3,4,7,1,0,8,2,31,21.2,24
11/24/00,LAL,,MIN,W,1,1,37:39:00,37,12,20,0.6,1,2,0.5,4,5,0.8,1,3,4,5,1,0,4,2,29,20.7,12
11/27/00,LAL,@,LAC,W,1,1,32:24:00,32,10,19,0.526,2,4,0.5,7,7,1,2,5,7,4,1,0,1,3,29,24.2,19
11/28/00,LAL,,IND,W,1,1,36:56:00,36,11,24,0.458,3,6,0.5,12,12,1,1,3,4,5,4,0,2,3,37,30.5,34
11/30/00,LAL,@,SEA,L,0,1,37:15:00,37,6,16,0.375,0,4,0,5,5,1,1,2,3,4,3,0,6,5,17,7.3,-25
12/1/00,LAL,,SAS,W,1,1,44:39:00,44,16,31,0.516,2,4,0.5,9,10,0.9,1,2,3,6,1,0,3,3,43,29.6,8
12/3/00,LAL,,DAL,W,1,1,44:58:00,44,15,28,0.536,1,3,0.333,7,9,0.778,4,6,10,6,2,2,6,4,38,28.2,1
12/5/00,LAL,,PHI,W,1,1,43:58:00,43,15,28,0.536,1,4,0.25,5,5,1,0,1,1,4,0,1,2,4,36,22.6,15
12/6/00,LAL,@,GSW,L,0,1,51:16:00,51,18,35,0.514,2,7,0.286,13,13,1,3,4,7,8,2,1,8,4,51,35.7,-2
12/8/00,LAL,,SEA,L,0,1,39:48:00,39,8,25,0.32,0,1,0,3,5,0.6,0,4,4,2,3,1,2,4,19,6.6,-12
12/10/00,LAL,,DET,W,1,1,33:30:00,33,11,21,0.524,2,5,0.4,2,2,1,1,3,4,9,1,1,1,2,26,23.5,23
12/12/00,LAL,,MIL,L,0,1,41:26:00,41,8,31,0.258,3,10,0.3,6,7,0.857,2,4,6,6,2,0,3,3,25,10.7,5
12/13/00,LAL,@,POR,L,0,1,45:09:00,45,13,25,0.52,0,2,0,9,13,0.692,1,5,6,6,2,0,1,5,35,26.5,-8
12/15/00,LAL,,VAN,W,1,1,34:33:00,34,7,18,0.389,1,3,0.333,2,2,1,1,3,4,1,1,1,3,2,17,7.4,19
12/17/00,LAL,@,TOR,W,1,1,51:38:00,51,14,29,0.483,1,5,0.2,11,11,1,1,6,7,4,0,3,2,3,40,29.5,1
12/19/00,LAL,@,MIA,W,1,1,45:15:00,45,9,24,0.375,0,2,0,5,8,0.625,2,3,5,6,0,0,3,4,23,10.5,5
12/21/00,LAL,@,HOU,W,1,1,43:52:00,43,20,26,0.769,1,1,1,4,6,0.667,3,1,4,3,1,0,1,1,45,38.1,-2
12/22/00,LAL,@,DAL,W,1,1,46:21:00,46,12,20,0.6,1,1,1,10,10,1,1,3,4,4,0,0,5,5,35,23.2,6
12/25/00,LAL,,POR,L,0,1,45:32:00,45,9,20,0.45,0,4,0,11,14,0.786,0,2,2,6,2,0,2,6,29,19.8,1
12/28/00,LAL,@,PHO,W,1,1,32:55:00,32,12,19,0.632,3,3,1,11,11,1,1,4,5,1,3,0,1,2,38,33.3,27
12/30/00,LAL,@,LAC,W,1,1,34:08:00,34,7,18,0.389,2,7,0.286,1,2,0.5,0,5,5,6,1,0,0,1,17,13.1,9
1/3/01,LAL,,UTA,W,1,1,45:27:00,45,13,24,0.542,2,6,0.333,3,4,0.75,0,4,4,4,3,0,5,5,31,19,11
1/7/01,LAL,,LAC,L,0,1,45:07:00,45,10,24,0.417,0,5,0,7,8,0.875,2,4,6,4,3,1,4,5,27,16.9,-20
1/12/01,LAL,,CLE,W,1,1,42:20:00,42,10,25,0.4,2,6,0.333,10,11,0.909,2,3,5,5,2,2,4,6,32,20.9,5
1/13/01,LAL,@,UTA,L,0,1,46:03:00,46,8,24,0.333,0,6,0,11,12,0.917,2,7,9,4,3,0,0,5,27,20.3,-2
1/15/01,LAL,,VAN,W,1,1,46:04:00,46,10,24,0.417,0,4,0,6,8,0.75,0,11,11,11,2,2,3,1,26,23.4,4
1/19/01,LAL,,HOU,W,1,1,39:08:00,39,12,22,0.545,1,4,0.25,4,5,0.8,2,4,6,4,3,0,1,3,29,24.2,16
1/21/01,LAL,,MIA,L,0,1,45:08:00,45,13,27,0.481,1,3,0.333,7,8,0.875,2,6,8,0,5,1,6,6,34,20.4,-5
1/23/01,LAL,@,SEA,L,0,1,42:50:00,42,5,19,0.263,1,5,0.2,10,13,0.769,3,5,8,5,2,0,2,3,21,14.4,-14
1/26/01,LAL,,NJN,W,1,1,42:27:00,42,10,20,0.5,2,4,0.5,4,5,0.8,1,8,9,3,1,0,3,2,26,18,19
1/28/01,LAL,@,NYK,L,0,1,42:29:00,42,12,27,0.444,1,3,0.333,8,11,0.727,3,8,11,3,2,0,3,2,33,22.5,-16
1/30/01,LAL,@,CLE,W,1,1,40:31:00,40,12,26,0.462,0,1,0,23,26,0.885,2,3,5,3,3,1,7,3,47,32.3,4
1/31/01,LAL,@,MIN,L,0,1,42:23:00,42,6,17,0.353,1,1,1,11,12,0.917,3,6,9,5,0,3,3,2,24,19.8,-12
2/2/01,LAL,,CHH,W,1,1,48:00:00,48,15,30,0.5,0,1,0,14,14,1,4,5,9,2,0,5,5,3,44,32,6
2/4/01,LAL,,SAC,W,1,1,44:09:00,44,8,26,0.308,0,1,0,10,11,0.909,4,7,11,4,1,0,2,2,26,16.5,8
2/7/01,LAL,,PHO,W,1,1,44:53:00,44,13,26,0.5,1,2,0.5,5,7,0.714,1,7,8,9,4,1,4,4,32,26.4,7
2/13/01,LAL,@,NJN,W,1,1,49:24:00,49,14,25,0.56,2,5,0.4,8,10,0.8,4,4,8,5,1,1,3,5,38,29.5,5
2/14/01,LAL,@,PHI,L,0,1,40:45:00,40,7,13,0.538,1,2,0.5,3,4,0.75,1,6,7,7,1,0,6,3,18,12.5,-17
2/16/01,LAL,@,CHH,W,1,1,41:58:00,41,8,17,0.471,0,1,0,9,10,0.9,2,8,10,10,1,0,4,2,25,22.9,7
2/18/01,LAL,@,IND,L,0,1,45:25:00,45,13,28,0.464,0,2,0,7,9,0.778,3,2,5,9,1,1,4,2,33,23.7,-3
2/20/01,LAL,@,DAL,W,1,1,39:45:00,39,5,16,0.313,0,0,0,9,10,0.9,1,5,6,7,1,1,3,3,19,14,4
2/28/01,LAL,@,DEN,L,0,1,45:33:00,45,16,28,0.571,2,5,0.4,4,6,0.667,3,7,10,6,1,1,5,3,38,27.9,-1
3/3/01,LAL,@,VAN,W,1,1,38:32:00,38,8,16,0.5,0,2,0,4,5,0.8,0,5,5,6,1,0,7,3,20,10.1,15
3/4/01,LAL,,GSW,W,1,1,30:49:00,30,9,15,0.6,0,1,0,4,5,0.8,1,1,2,5,2,0,2,2,22,18.4,26
3/6/01,LAL,@,GSW,W,1,1,36:11:00,36,7,17,0.412,1,1,1,14,15,0.933,1,2,3,2,3,1,3,4,29,21.3,2
3/7/01,LAL,,TOR,W,1,1,38:17:00,38,11,34,0.324,0,2,0,7,7,1,5,2,7,5,0,0,3,4,29,12.6,9
3/9/01,LAL,,SAS,L,0,1,43:45:00,43,16,33,0.485,0,1,0,6,8,0.75,2,5,7,2,1,0,4,5,38,19.8,-4
3/15/01,LAL,@,DET,W,1,1,47:56:00,47,16,28,0.571,1,3,0.333,6,7,0.857,1,4,5,7,3,0,4,5,39,29.2,13
3/16/01,LAL,@,WAS,W,1,1,35:38:00,35,11,18,0.611,1,2,0.5,3,4,0.75,0,5,5,5,5,2,2,3,26,25.6,17
3/18/01,LAL,@,ORL,W,1,1,36:32:00,36,5,17,0.294,0,1,0,6,7,0.857,1,1,2,7,1,0,3,5,16,7.6,14
3/19/01,LAL,@,ATL,L,0,1,44:23:00,44,10,22,0.455,0,0,0,7,9,0.778,5,7,12,4,0,1,7,4,27,15.3,0
3/21/01,LAL,@,MIL,L,0,1,41:31:00,41,4,15,0.267,0,1,0,5,7,0.714,1,6,7,8,0,0,4,3,13,6.2,-5
4/1/01,LAL,,NYK,L,0,1,11:23,11,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,-2.2,7
4/10/01,LAL,,PHO,W,1,1,34:56:00,34,7,14,0.5,0,1,0,6,8,0.75,1,2,3,4,6,0,1,3,20,20.1,14
4/12/01,LAL,,MIN,W,1,1,37:25:00,37,14,24,0.583,0,0,0,2,3,0.667,0,5,5,9,1,0,1,2,30,25.4,20
