Date,Tm,,Opp,Result2,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
4/25/02,LAL,,POR,W,1,1,42:48:00,42,5,21,0.238,1,4,0.25,8,9,0.889,1,5,6,5,2,0,3,5,19,8.6,15
4/28/02,LAL,@,POR,W,1,1,44:42:00,44,9,19,0.474,3,4,0.75,4,7,0.571,0,4,4,7,2,2,4,5,25,17.6,-3
5/5/02,LAL,,SAS,W,1,1,38:04:00,38,8,18,0.444,0,3,0,4,10,0.4,0,2,2,4,0,0,3,4,20,7,1
5/7/02,LAL,,SAS,L,0,1,42:48:00,42,12,25,0.48,0,2,0,2,2,1,1,3,4,6,3,0,4,4,26,16.5,5
5/10/02,LAL,@,SAS,W,1,1,48:00:00,48,15,31,0.484,0,2,0,1,3,0.333,2,4,6,6,0,1,1,1,31,20.6,10
5/12/02,LAL,@,SAS,W,1,1,43:38:00,43,10,27,0.37,3,5,0.6,5,9,0.556,3,4,7,3,1,0,2,3,28,14.7,7
5/14/02,LAL,,SAS,W,1,1,45:51:00,45,10,20,0.5,0,1,0,6,7,0.857,3,5,8,5,1,0,0,1,26,23.3,2
5/18/02,LAL,@,SAC,W,1,1,44:19:00,44,12,26,0.462,0,2,0,6,7,0.857,1,5,6,5,2,2,5,1,30,19.9,7
5/20/02,LAL,@,SAC,L,0,1,40:08:00,40,9,21,0.429,1,2,0.5,3,5,0.6,1,5,6,2,1,1,4,3,22,10.2,-3
5/24/02,LAL,,SAC,L,0,1,39:41:00,39,8,24,0.333,4,9,0.444,2,2,1,1,1,2,3,2,2,2,6,22,10.5,-18
5/26/02,LAL,,SAC,W,1,1,42:19:00,42,12,26,0.462,0,1,0,1,3,0.333,2,2,4,2,2,3,4,5,25,12.3,7
5/28/02,LAL,@,SAC,L,0,1,45:15:00,45,11,29,0.379,0,2,0,8,11,0.727,2,3,5,3,1,0,5,5,30,11.3,-5
5/31/02,LAL,,SAC,W,1,1,44:00:00,44,10,20,0.5,0,0,0,11,11,1,2,9,11,5,0,0,1,3,31,26.4,3
6/2/02,LAL,@,SAC,W,1,1,52:33:00,52,10,26,0.385,2,3,0.667,8,10,0.8,3,7,10,7,2,0,0,5,30,24.1,8
6/5/02,LAL,,NJN,W,1,1,43:04:00,43,6,16,0.375,0,2,0,10,11,0.909,1,2,3,6,1,0,4,2,22,14.5,7
6/7/02,LAL,,NJN,W,1,1,41:43:00,41,9,15,0.6,3,3,1,3,4,0.75,1,7,8,3,2,1,4,2,24,19.5,20
6/9/02,LAL,@,NJN,W,1,1,45:32:00,45,14,23,0.609,1,3,0.333,7,10,0.7,1,5,6,4,1,2,6,3,36,24.5,1
6/12/02,LAL,@,NJN,W,1,1,43:39:00,43,7,16,0.438,2,3,0.667,9,11,0.818,0,6,6,8,2,0,1,4,25,22.6,6
