Date,Age,Tm,,Opp,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
11/30/01,29-269,LAL,@,SEA,W,1,9:48,9:,3,5,0.6,0,0,0,2,6,0.333,1,2,3,2,0,0,1,0,8,5.8,0
12/1/01,29-270,LAL,,MIN,W,1,32:15:00,32,9,14,0.643,0,0,0,5,7,0.714,1,8,9,5,1,2,1,3,23,22.8,18
12/5/01,29-274,LAL,,DAL,W,1,40:03:00,40,18,23,0.783,0,0,0,10,22,0.455,6,9,15,2,1,1,3,4,46,37.7,8
12/7/01,29-276,LAL,@,SAC,L,1,42:59:00,42,14,23,0.609,0,0,0,3,11,0.273,3,13,16,5,2,2,3,2,31,26.4,-4
12/11/01,29-280,LAL,,SEA,L,1,42:22:00,42,18,27,0.667,0,0,0,1,7,0.143,7,9,16,3,0,6,2,2,37,34,2
12/14/01,29-283,LAL,,LAC,W,1,35:10:00,35,12,22,0.545,0,0,0,4,7,0.571,5,10,15,4,2,1,3,3,28,24,31
12/16/01,29-285,LAL,,GSW,W,1,39:31:00,39,9,17,0.529,0,0,0,2,4,0.5,1,6,7,6,0,2,2,3,20,15.8,20
12/20/01,29-289,LAL,@,HOU,W,1,38:40:00,38,6,16,0.375,0,0,0,4,8,0.5,2,12,14,4,1,4,4,3,16,12,27
12/21/01,29-290,LAL,@,MEM,L,1,41:18:00,41,11,25,0.44,0,0,0,4,7,0.571,5,4,9,5,0,1,1,4,26,18,-7
1/4/02,29-304,LAL,,PHO,W,1,27:51:00,27,11,15,0.733,0,0,0,2,3,0.667,3,6,9,5,0,1,1,4,24,23,18
1/6/02,29-306,LAL,@,TOR,W,1,37:51:00,37,10,21,0.476,0,0,0,4,7,0.571,0,6,6,4,2,2,1,0,24,19.1,23
1/8/02,29-308,LAL,@,DET,W,1,25:22:00,25,11,17,0.647,0,0,0,6,10,0.6,5,5,10,3,1,1,3,4,28,23.1,19
1/9/02,29-309,LAL,@,IND,W,1,23:51,23,8,12,0.667,0,0,0,4,9,0.444,0,4,4,1,0,5,2,4,20,14.6,16
1/11/02,29-311,LAL,@,MIN,L,1,37:15:00,37,12,23,0.522,0,0,0,5,11,0.455,2,5,7,1,1,2,3,2,29,17.5,-18
1/12/02,29-312,LAL,@,CHI,L,1,33:55:00,33,5,14,0.357,0,0,0,9,18,0.5,3,7,10,1,0,3,4,5,19,8.6,5
1/22/02,29-322,LAL,,DEN,L,1,39:07:00,39,17,22,0.773,0,0,0,6,9,0.667,5,6,11,5,1,2,1,1,40,40,-6
1/23/02,29-323,LAL,@,LAC,L,1,39:53:00,39,7,16,0.438,0,0,0,10,16,0.625,2,8,10,3,0,3,4,4,24,15.6,-2
1/25/02,29-325,LAL,,SAS,W,1,41:33:00,41,11,21,0.524,0,0,0,3,6,0.5,5,10,15,4,1,0,6,2,25,17,-4
1/27/02,29-327,LAL,@,PHI,L,1,39:53:00,39,11,22,0.5,0,0,0,4,9,0.444,4,7,11,2,0,1,0,5,26,18,-9
1/29/02,29-329,LAL,@,ATL,W,1,25:44:00,25,10,13,0.769,0,0,0,3,4,0.75,1,5,6,1,1,2,3,1,23,19.4,31
1/30/02,29-330,LAL,@,ORL,W,1,35:43:00,35,13,19,0.684,0,0,0,4,8,0.5,4,10,14,4,0,1,2,3,30,26.4,-4
2/1/02,29-332,LAL,@,MEM,W,1,36:06:00,36,12,18,0.667,0,0,0,2,2,1,3,7,10,2,0,3,3,3,26,21.7,17
2/3/02,29-334,LAL,@,DAL,W,1,39:20:00,39,12,20,0.6,0,0,0,7,9,0.778,5,8,13,3,0,1,2,3,31,26.5,17
2/19/02,29-350,LAL,,BOS,L,1,38:44:00,38,9,10,0.9,0,0,0,7,9,0.778,4,13,17,1,1,1,3,1,25,26.5,1
2/21/02,29-352,LAL,@,CLE,W,1,37:02:00,37,13,25,0.52,0,0,0,5,6,0.833,1,3,4,2,0,2,2,3,31,19.5,3
2/22/02,29-353,LAL,@,CHH,W,1,39:12:00,39,12,18,0.667,0,0,0,7,13,0.538,3,4,7,2,1,0,1,3,31,24.3,14
2/24/02,29-355,LAL,@,NYK,W,1,37:34:00,37,12,22,0.545,0,0,0,6,10,0.6,5,10,15,5,0,0,3,2,30,24,6
2/26/02,29-357,LAL,@,MIL,W,1,39:39:00,39,9,18,0.5,0,0,0,10,17,0.588,5,8,13,4,0,1,0,4,28,24,6
2/27/02,29-358,LAL,@,MIN,L,1,35:18:00,35,8,19,0.421,0,0,0,11,15,0.733,2,6,8,3,0,4,2,3,27,20.2,-14
3/1/02,29-360,LAL,,IND,W,1,40:51:00,40,14,21,0.667,0,0,0,5,9,0.556,0,12,12,2,1,6,3,3,33,28.3,20
3/3/02,29-362,LAL,,HOU,W,1,33:48:00,33,15,21,0.714,0,0,0,6,11,0.545,7,7,14,7,0,2,3,2,36,34.8,21
3/5/02,29-364,LAL,,NJN,W,1,38:08:00,38,16,21,0.762,0,0,0,8,20,0.4,3,9,12,4,1,1,4,4,40,30.6,13
3/6/02,30-000,LAL,@,UTA,L,1,41:48:00,41,13,21,0.619,0,0,0,2,9,0.222,4,8,12,1,1,3,3,3,28,20.5,-6
3/10/02,30-004,LAL,,NYK,W,1,41:02:00,41,15,21,0.714,0,0,0,10,19,0.526,4,4,8,3,1,3,2,0,40,34.9,7
3/12/02,30-006,LAL,,CHH,W,1,26:03:00,26,3,9,0.333,0,0,0,3,4,0.75,5,5,10,2,0,1,1,4,9,8,16
3/14/02,30-008,LAL,@,GSW,W,1,43:23:00,43,13,20,0.65,0,0,0,14,28,0.5,4,9,13,0,1,2,6,5,40,25.5,14
3/15/02,30-009,LAL,,LAC,W,0,36:54:00,36,5,13,0.385,0,0,0,6,11,0.545,3,10,13,1,0,2,2,3,16,10.9,15
