Date,Age,Tm,,Opp,Result,GS,MP2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,plmi
1/8/00,27-308,LAL,@,SEA,W,1,40:24:00,40,10,16,0.625,0,0,0,3,5,0.6,3,6,9,6,0,1,2,5,23,19.8,4
1/10/00,27-310,LAL,,DEN,W,1,32:20:00,32,14,24,0.583,0,0,0,3,5,0.6,6,13,19,9,1,5,3,1,31,34.5,40
1/12/00,27-312,LAL,@,MIL,W,1,43:22:00,43,10,20,0.5,0,0,0,7,10,0.7,2,8,10,3,2,2,5,3,27,18.9,11
1/14/00,27-314,LAL,@,IND,L,1,47:17:00,47,10,25,0.4,0,0,0,2,3,0.667,8,6,14,4,1,4,1,3,22,19.9,-8
1/15/00,27-315,LAL,@,MIN,W,1,43:04:00,43,11,20,0.55,0,0,0,4,12,0.333,2,17,19,7,0,5,3,2,26,24.3,6
1/17/00,27-317,LAL,,SEA,L,1,47:25:00,47,13,21,0.619,0,0,0,4,10,0.4,4,6,10,6,1,3,4,3,30,24.8,-3
1/19/00,27-319,LAL,,CLE,W,1,42:26:00,42,11,19,0.579,0,0,0,5,13,0.385,10,13,23,2,0,6,5,4,27,24.8,5
1/22/00,27-322,LAL,,POR,L,1,47:49:00,47,8,17,0.471,0,0,0,1,4,0.25,5,11,16,7,0,6,1,2,17,21.2,-2
1/24/00,27-324,LAL,@,UTA,L,1,55:09:00,55,16,31,0.516,0,0,0,4,6,0.667,4,5,9,3,2,6,3,4,36,27.9,6
1/28/00,27-328,LAL,,MIL,W,1,32:56:00,32,13,18,0.722,0,0,0,4,5,0.8,1,7,8,4,0,4,1,1,30,29.2,17
1/30/00,27-330,LAL,@,HOU,L,1,40:24:00,40,12,27,0.444,0,0,0,3,8,0.375,7,12,19,0,0,0,3,5,27,14.4,-1
2/1/00,27-332,LAL,@,SAS,L,1,36:04:00,36,13,17,0.765,0,0,0,5,8,0.625,2,5,7,1,0,5,4,5,31,24.2,-15
2/4/00,27-335,LAL,,UTA,W,1,28:30:00,28,8,11,0.727,0,0,0,9,14,0.643,3,3,6,2,0,5,2,4,25,22.8,25
2/7/00,27-338,LAL,,DEN,W,1,44:21:00,44,14,23,0.609,0,0,0,7,15,0.467,4,9,13,8,1,1,4,4,35,28.5,7
2/9/00,27-340,LAL,,MIN,W,1,34:37:00,34,11,16,0.688,0,0,0,15,20,0.75,4,12,16,3,0,4,3,2,37,35.7,37
2/15/00,27-346,LAL,@,CHI,W,1,47:11:00,47,9,16,0.563,0,0,0,11,12,0.917,5,15,20,1,0,2,2,2,29,28.3,12
2/16/00,27-347,LAL,@,CHH,W,1,42:51:00,42,6,17,0.353,0,0,0,6,9,0.667,5,9,14,5,0,1,1,2,18,15.9,9
2/18/00,27-349,LAL,@,ORL,W,1,46:59:00,46,15,22,0.682,0,0,0,9,13,0.692,4,12,16,5,1,3,4,2,39,36.2,1
2/20/00,27-351,LAL,@,PHI,W,1,45:14:00,45,9,22,0.409,0,0,0,4,8,0.5,4,12,16,9,0,4,3,3,22,19.9,-2
2/22/00,27-353,LAL,@,NJN,W,1,42:44:00,42,15,26,0.577,0,0,0,5,12,0.417,4,9,13,4,0,3,2,4,35,26.8,3
2/23/00,27-354,LAL,@,CLE,W,1,31:55:00,31,8,15,0.533,0,0,0,3,5,0.6,2,6,8,7,1,4,2,5,19,18.8,12
2/25/00,27-356,LAL,,BOS,W,1,36:15:00,36,13,20,0.65,0,0,0,2,8,0.25,2,13,15,6,0,4,2,4,28,25.5,18
2/27/00,27-358,LAL,,HOU,W,1,35:57:00,35,11,20,0.55,0,0,0,2,6,0.333,2,11,13,8,1,5,2,1,24,25.2,22
2/29/00,27-360,LAL,@,POR,W,1,46:32:00,46,7,17,0.412,0,0,0,9,13,0.692,3,7,10,1,1,3,3,3,23,16.1,3
3/1/00,27-361,LAL,,VAN,W,1,39:25:00,39,11,17,0.647,0,0,0,3,6,0.5,4,13,17,5,1,5,4,6,25,24.6,-2
3/3/00,27-363,LAL,,IND,W,1,35:36:00,35,13,28,0.464,0,0,0,5,8,0.625,3,12,15,3,0,2,1,1,31,23.2,21
3/5/00,27-365,LAL,,MIA,W,1,36:21:00,36,5,17,0.294,0,0,0,7,12,0.583,4,7,11,7,0,2,4,5,17,10.3,0
3/6/00,28-000,LAL,@,LAC,W,1,44:52:00,44,24,35,0.686,0,0,0,13,22,0.591,7,16,23,3,0,0,4,2,61,49.5,16
3/9/00,28-003,LAL,@,GSW,W,1,35:24:00,35,12,18,0.667,0,0,0,5,7,0.714,2,11,13,1,0,0,2,4,29,22.2,32
3/12/00,28-006,LAL,,SAC,W,1,45:49:00,45,18,32,0.563,0,0,0,3,7,0.429,6,14,20,5,0,3,4,2,39,31.4,3
3/13/00,28-007,LAL,@,DEN,W,1,43:35:00,43,14,20,0.7,0,0,0,12,16,0.75,3,6,9,7,0,1,4,3,40,34.3,13
3/16/00,28-010,LAL,@,WAS,L,1,38:25:00,38,15,25,0.6,0,0,0,10,16,0.625,7,5,12,2,0,2,3,5,40,30.3,-16
3/17/00,28-011,LAL,@,DET,W,1,35:51:00,35,15,24,0.625,0,0,0,5,7,0.714,3,8,11,3,1,2,1,0,35,31.4,19
3/19/00,28-013,LAL,@,NYK,W,1,45:34:00,45,18,31,0.581,0,0,0,7,13,0.538,4,6,10,3,0,0,2,4,43,29.2,6
3/20/00,28-014,LAL,@,MIA,W,1,39:51:00,39,12,22,0.545,0,0,0,4,6,0.667,5,7,12,3,1,4,3,5,28,23.1,18
3/22/00,28-016,LAL,,GSW,W,1,23:21,23,10,14,0.714,0,0,0,2,7,0.286,2,2,4,1,0,0,1,3,22,14.7,23
3/24/00,28-018,LAL,,PHO,W,1,42:35:00,42,15,29,0.517,0,0,0,10,13,0.769,6,8,14,5,3,0,1,3,40,35.4,3
3/26/00,28-020,LAL,@,SAC,W,1,44:46:00,44,15,26,0.577,0,0,0,4,8,0.5,3,5,8,3,0,3,2,3,34,24.8,1
3/29/00,28-023,LAL,@,VAN,W,1,37:34:00,37,8,10,0.8,0,0,0,3,7,0.429,1,3,4,8,0,2,2,1,19,19.8,14
3/31/00,28-025,LAL,,PHI,W,1,41:25:00,41,17,28,0.607,0,0,0,3,3,1,3,11,14,5,0,8,3,4,37,34.1,10
4/2/00,28-027,LAL,,NYK,W,1,41:34:00,41,14,28,0.5,0,0,0,6,9,0.667,3,9,12,4,0,5,3,2,34,26.1,20
4/4/00,28-029,LAL,@,PHO,W,1,42:39:00,42,13,22,0.591,0,0,0,6,9,0.667,4,3,7,2,0,1,3,5,32,21.4,-3
4/5/00,28-030,LAL,@,GSW,W,1,43:52:00,43,19,27,0.704,0,0,0,11,16,0.688,2,11,13,1,0,3,2,3,49,40,8
4/14/00,28-039,LAL,,SAC,W,1,45:09:00,45,16,29,0.552,0,0,0,9,15,0.6,7,9,16,2,0,0,8,5,41,23.7,11
4/16/00,28-041,LAL,,MIN,W,1,45:40:00,45,14,24,0.583,0,0,0,5,8,0.625,3,11,14,8,1,2,3,1,33,30.6,7
4/18/00,28-043,LAL,@,DAL,L,1,42:54:00,42,15,25,0.6,0,0,0,8,19,0.421,12,8,20,3,0,2,5,3,38,30.2,-12
4/19/00,28-044,LAL,@,SAS,L,1,31:47:00,31,9,16,0.563,0,0,0,4,8,0.5,3,4,7,4,0,2,3,3,22,16.1,7
4/23/00,28-048,LAL,,SAC,W,1,45:43:00,45,21,33,0.636,0,0,0,4,5,0.8,7,10,17,1,2,5,2,5,46,41,16
4/27/00,28-052,LAL,,SAC,W,1,37:33:00,37,9,15,0.6,0,0,0,5,11,0.455,5,14,19,6,1,3,2,2,23,25.9,30
4/30/00,28-055,LAL,@,SAC,L,1,41:04:00,41,8,22,0.364,0,0,0,5,14,0.357,6,11,17,3,0,1,1,3,21,13.3,-8
